word,frequency,topic_id
trump,14152,1
donald,4603,1
president,3643,1
say,3427,1
republican,3007,1
state,2693,1
new,2608,1
said,2566,1
gop,2537,1
clinton,2468,1
house,2317,1 
one,1985,1
obama,1935,1
people,1931,1
american,1871,1
would,1824,1
white,1726,1
hillary,1726,1
democrat,1651,1
campaign,1569,1
year,1553,1
could,1536,1
court,1504,1
time,1466,1
want,1444,1
election,1441,1
bill,1436,1
get,1404,1
day,1396,1
right,1384,1
senate,1302,1
like,1240,1
former,1199,1
news,1170,1
law,1166,1
voter,1165,1
democratic,1155,1
first,1142,1
sander,1140,1
make,1126,1
candidate,1119,1
health,1093,1
woman,1082,1
senator,1074,1
america,1071,1
vote,1056,1
party,1029,1
presidential,1005,1
care,994,1
need,991,1
know,982,1
plan,965,1
may,960,1
back,949,1
gun,949,1
week,945,1
congress,940,1
call,929,1
still,913,1
bernie,912,1
political,883,1
think,881,1
tax,872,1
supreme,869,1
change,838,1
country,837,1
war,836,1
even,834,1
take,821,1
administration,819,1
federal,817,1
help,789,1
huffpost,789,1
email,784,1
government,783,1
national,773,1
debate,773,1
way,767,1
u,757,1
last,757,1
justice,752,1
policy,750,1
report,749,1
group,748,1
show,746,1
leader,744,1
morning,737,1
attack,727,1
million,715,1
official,710,1
support,703,1
many,692,1
biden,688,1
big,687,1
go,686,1
come,676,1
nominee,676,1
climate,675,1
also,674,1
two,670,1
public,660,1
win,651,1
john,647,1
secretary,636,1
thing,630,1
security,628,1
ban,628,1
police,627,1
governor,624,1
lawmaker,622,1
claim,616,1
russia,615,1
school,611,1
world,609,1
life,607,1
much,607,1
race,605,1
deal,602,1
really,596,1
good,595,1
cruz,587,1
paul,585,1
washington,581,1
fight,577,1
judge,577,1
going,574,1
question,572,1
obamacare,572,1
wo,571,1
poll,565,1
case,564,1
family,558,1
issue,557,1
city,547,1
rise,534,1
another,534,1
end,531,1
made,529,1
stop,529,1
top,525,1
death,520,1
department,520,1
child,518,1
look,517,1
work,517,1
general,512,1
primary,511,1
conservative,511,1
shooting,509,1
nation,504,1
face,499,1
job,495,1
month,492,1
immigration,492,1
give,490,1
attorney,484,1
york,479,1
office,477,1
texas,474,1
medium,474,1
money,473,1
every,473,1
joe,471,1
ryan,469,1
tell,467,1
let,467,1
man,466,1
order,464,1
see,464,1
called,463,1
rule,462,1
ted,462,1
twitter,461,1
black,460,1
fbi,459,1
next,458,1
student,457,1
speech,456,1
keep,452,1
since,447,1
history,439,1
start,439,1
politics,433,1
bush,432,1
cut,432,1
violence,430,1
supporter,428,1
united,428,1
rubio,428,1
problem,426,1
committee,425,1
never,425,1
california,416,1
must,415,1
voting,414,1
ca,413,1
action,413,1
north,411,1
run,409,1
muslim,408,1
act,406,1
got,405,1
point,400,1
decision,399,1
chief,396,1
told,392,1
immigrant,390,1
russian,389,1
lawyer,385,1
without,385,1
member,384,1
tweet,383,1
real,383,1
long,380,1
move,380,1
might,379,1
investigation,376,1
reform,374,1
pick,374,1
whether,372,1
sign,372,1
getting,371,1
crisis,371,1
talk,371,1
hill,371,1
better,370,1
latest,366,1
wall,365,1
put,364,1
abortion,363,1
part,360,1
florida,360,1
use,359,1
progressive,359,1
friday,358,1
find,358,1
power,358,1
threat,357,1
pay,355,1
military,354,1
lot,354,1
matter,353,1
lead,351,1
effort,350,1
story,345,1
mike,345,1
business,344,1
congressman,343,1
company,342,1
yet,340,1
system,339,1
sexual,339,1
tuesday,337,1
probe,336,1
trying,335,1
ad,334,1
already,332,1
making,331,1
legal,329,1
mean,329,1
rally,328,1
comment,327,1
director,325,1
control,324,1
well,323,1
reportedly,322,1
worker,322,1
gov,321,1
program,320,1
today,316,1
major,314,1
future,314,1
something,313,1
hope,313,1
community,313,1
social,312,1
repeal,312,1
marco,312,1
stand,311,1
set,310,1
congressional,310,1
number,310,1
read,310,1
protest,309,1
idea,309,1
comey,309,1
force,308,1
fox,308,1
union,308,1
believe,308,1
press,308,1
actually,304,1
carolina,304,1
meeting,303,1
great,302,1
session,301,1
service,300,1
special,300,1
short,300,1
drug,300,1
percent,300,1
running,297,1
used,297,1
three,297,1
home,296,1
open,296,1
bad,295,1
civil,295,1
record,294,1
wrong,294,1
far,292,1
past,292,1
foreign,292,1
scott,291,1
response,291,1
likely,290,1
water,288,1
welcome,288,1
ever,287,1
convention,286,1
michael,285,1
push,284,1
iowa,283,1
iran,283,1
place,282,1
executive,281,1
around,280,1
penny,279,1
talking,278,1
working,278,1
mayor,276,1
planned,276,1
love,276,1
little,275,1
word,274,1
behind,273,1
video,272,1
le,272,1
virginia,272,1
least,270,1
protester,269,1
asked,269,1
budget,269,1
presidency,269,1
key,268,1
team,268,1
best,268,1
away,268,1
activist,268,1
agency,267,1
enough,267,1
border,267,1
warren,267,1
left,265,1
reason,265,1
name,263,1
event,263,1
adviser,261,1
huffpollster,260,1
despite,258,1
nomination,258,1
jeff,257,1
speaker,257,1
hearing,255,1
politician,254,1
victory,253,1
ago,252,1
challenge,251,1
james,251,1
become,251,1
fear,250,1
monday,246,1
nuclear,246,1
post,245,1
college,245,1
important,245,1
recent,245,1
officer,244,1
hit,244,1
turn,244,1
travel,243,1
kid,243,1
refugee,242,1
block,242,1
accused,242,1
second,241,1
among,241,1
access,240,1
charge,240,1
nothing,240,1
barack,240,1
fraud,239,1
mcconnell,238,1
moment,237,1
protect,237,1
mueller,237,1
victim,236,1
watch,236,1
jeb,236,1
taking,235,1
nearly,235,1
prison,235,1
chris,234,1
fact,234,1
head,233,1
crime,233,1
moore,233,1
aide,232,1
street,232,1
try,232,1
south,232,1
promise,232,1
thursday,231,1
free,231,1
step,230,1
message,230,1
saying,230,1
high,230,1
elizabeth,229,1
release,229,1
economic,229,1
education,229,1
hate,229,1
line,228,1
march,228,1
defense,227,1
clear,227,1
letter,227,1
funding,226,1
lie,226,1
fire,224,1
